itrial,d,method,coverage,width
19,10,naive,0.85,2.7983284351437514
19,10,jackknife,0.87,3.128784443782649
19,10,jackknife+,0.87,3.0997624142315887
19,10,jackknife-mm,0.87,3.343496447483287
19,10,CV+,0.87,3.185161507994638
19,10,split,0.88,3.4036742727250884
20,10,naive,0.84,3.084692302037145
20,10,jackknife,0.85,3.376559260777748
20,10,jackknife+,0.85,3.3688584700131026
20,10,jackknife-mm,0.86,3.5924224962423654
20,10,CV+,0.85,3.415434052714053
20,10,split,0.92,4.013262154744364
21,10,naive,0.86,3.581504015441676
21,10,jackknife,0.92,3.915514961199981
21,10,jackknife+,0.92,3.9495894729864243
21,10,jackknife-mm,0.95,4.198305165876211
21,10,CV+,0.93,4.032165990164831
21,10,split,0.88,3.8482618544607776
22,10,naive,0.85,3.1668576292932813
22,10,jackknife,0.89,3.446930932663784
22,10,jackknife+,0.88,3.436621241211901
22,10,jackknife-mm,0.94,3.699365268574679
22,10,CV+,0.89,3.513323966494082
22,10,split,0.94,3.7476157789719804
23,10,naive,0.81,3.1187877630960963
23,10,jackknife,0.85,3.4883657047993775
23,10,jackknife+,0.86,3.529592419220259
23,10,jackknife-mm,0.88,3.715226032718718
23,10,CV+,0.86,3.6199899953699024
23,10,split,0.87,3.830199011064683
24,10,naive,0.85,3.4143428153696913
24,10,jackknife,0.9,3.7623127382150856
24,10,jackknife+,0.89,3.8031566642932018
24,10,jackknife-mm,0.96,4.044312737854748
24,10,CV+,0.9,3.746779574557205
24,10,split,0.91,4.003569929298352
25,10,naive,0.89,3.2726245441394495
25,10,jackknife,0.91,3.632263062828388
25,10,jackknife+,0.91,3.6675833037810808
25,10,jackknife-mm,0.91,3.8764782947456093
25,10,CV+,0.91,3.725180833285636
25,10,split,0.94,4.3804550889584695
26,10,naive,0.87,3.261154801115595
26,10,jackknife,0.96,3.6587404853908017
26,10,jackknife+,0.96,3.685304541724382
26,10,jackknife-mm,0.97,3.9148812503819026
26,10,CV+,0.96,3.7442634040822065
26,10,split,0.97,4.541411953651318
27,10,naive,0.88,3.1366211152427077
27,10,jackknife,0.91,3.5257994988499437
27,10,jackknife+,0.91,3.485786432860566
27,10,jackknife-mm,0.93,3.810781562202925
27,10,CV+,0.91,3.6049465839686796
27,10,split,0.93,4.103243870480692
28,10,naive,0.91,3.0129734931571197
28,10,jackknife,0.98,3.5283217352370735
28,10,jackknife+,0.98,3.516687280466044
28,10,jackknife-mm,0.99,3.7714977347087157
28,10,CV+,0.99,3.530176194206939
28,10,split,0.94,3.571372113211376
29,10,naive,0.83,3.2220251548970604
29,10,jackknife,0.88,3.716970252756462
29,10,jackknife+,0.88,3.7446973639008707
29,10,jackknife-mm,0.91,4.002075913956102
29,10,CV+,0.88,3.668562631666225
29,10,split,0.91,3.911869499868373
30,10,naive,0.84,3.0556433535529886
30,10,jackknife,0.9,3.4671338000393352
30,10,jackknife+,0.9,3.438109270331597
30,10,jackknife-mm,0.92,3.69331900076922
30,10,CV+,0.9,3.4416482979855108
30,10,split,0.96,3.9034379661219236
31,10,naive,0.87,3.6611171975214543
31,10,jackknife,0.91,3.9420291039175868
31,10,jackknife+,0.9,3.946495322967462
31,10,jackknife-mm,0.92,4.202966582928939
31,10,CV+,0.88,3.8577173485319354
31,10,split,0.9,3.8785487071583775
32,10,naive,0.88,3.255021840428071
32,10,jackknife,0.93,3.5564796189963754
32,10,jackknife+,0.94,3.5924001213523518
32,10,jackknife-mm,0.94,3.80742554122978
32,10,CV+,0.94,3.550442067380007
32,10,split,0.95,4.052533007914362
33,10,naive,0.87,3.4566199643403532
33,10,jackknife,0.89,3.7061327799007286
33,10,jackknife+,0.9,3.7013640278905258
33,10,jackknife-mm,0.93,3.938429846994021
33,10,CV+,0.9,3.758655406565043
33,10,split,0.92,4.701859670030659
34,10,naive,0.81,3.2780353655274963
34,10,jackknife,0.92,3.748204796686768
34,10,jackknife+,0.92,3.706666858501551
34,10,jackknife-mm,0.95,4.014235786092444
34,10,CV+,0.91,3.6915857153376583
34,10,split,0.87,3.8397992913457837
35,10,naive,0.87,3.1093309402249134
35,10,jackknife,0.89,3.517758263803971
35,10,jackknife+,0.9,3.551475310543003
35,10,jackknife-mm,0.93,3.7546712973370466
35,10,CV+,0.9,3.583444345180071
35,10,split,0.95,3.972845257615008
36,10,naive,0.87,3.4761933387845203
36,10,jackknife,0.89,3.752807352352894
36,10,jackknife+,0.89,3.776112426441427
36,10,jackknife-mm,0.91,4.01185913801092
36,10,CV+,0.9,3.8429650613687794
36,10,split,0.92,3.8160712594749566
37,10,naive,0.86,2.7957835143306506
37,10,jackknife,0.9,3.0574348033591154
37,10,jackknife+,0.9,3.0649685394184343
37,10,jackknife-mm,0.9,3.274693756393457
37,10,CV+,0.9,3.161175310662005
37,10,split,0.88,2.9179331654413003
38,10,naive,0.94,3.6242467160186043
38,10,jackknife,0.97,4.052801617776384
38,10,jackknife+,0.98,4.080058111164478
38,10,jackknife-mm,1.0,4.366745792355897
38,10,CV+,0.98,4.193385548077634
38,10,split,0.95,4.332509427526191
39,10,naive,0.91,3.112677036928972
39,10,jackknife,0.92,3.379476113999012
39,10,jackknife+,0.93,3.442244243980662
39,10,jackknife-mm,0.93,3.6258034314492225
39,10,CV+,0.91,3.2856466423674506
39,10,split,0.95,3.611482065757927
40,10,naive,0.87,3.2371278388326123
40,10,jackknife,0.88,3.596582593618672
40,10,jackknife+,0.88,3.61166004077738
40,10,jackknife-mm,0.92,3.9122782732780568
40,10,CV+,0.89,3.7619467938663593
40,10,split,0.94,4.5183893455503155
41,10,naive,0.92,3.3304473296521446
41,10,jackknife,0.95,3.592284912173683
41,10,jackknife+,0.95,3.5950351507625835
41,10,jackknife-mm,0.95,3.8550890878061868
41,10,CV+,0.95,3.6618019992218795
41,10,split,0.94,4.186309570425277
42,10,naive,0.88,3.0866435832818424
42,10,jackknife,0.88,3.3534216306819427
42,10,jackknife+,0.88,3.3680019227854565
